SAND,CLAY,SILT,BD,KSAT,SAT,DUL,LL,AirDry,PO,SWCON,CONA,DiffusConst,XF_maize,KL_maize,e,PH,CO,CEC,SW,TOP_LAYER,BOT_LAYER,THICK,RootCN,RootWt,id_cell,id_within_cell
20.0,19.0,61.0,1.52,8.693462249429029,0.403,0.28800000000000003,0.13699999999999998,0.1233,0.4264150943396226,0.32460176991150436,3.725,40.0,1.0,0.08,0.5,7.41,1.1627906976744187,14.0,0.28800000000000003,0,50,50,45,1000,559,1
20.0,19.0,61.0,1.52,8.693462249429029,0.403,0.28800000000000003,0.13699999999999998,0.1233,0.4264150943396226,0.32460176991150436,3.725,40.0,1.0,0.08,0.5,7.41,1.1627906976744187,14.0,0.28800000000000003,50,100,50,45,1000,559,1
20.0,19.0,61.0,1.52,8.693462249429029,0.403,0.28800000000000003,0.13699999999999998,0.1233,0.4264150943396226,0.32460176991150436,3.725,40.0,1.0,0.08,0.5,7.41,1.1627906976744187,14.0,0.28800000000000003,100,150,50,45,1000,559,1
20.0,19.0,61.0,1.52,8.693462249429029,0.403,0.28800000000000003,0.13699999999999998,0.1233,0.4264150943396226,0.32460176991150436,3.725,40.0,1.0,0.08,0.5,7.41,1.1627906976744187,14.0,0.28800000000000003,150,200,50,45,1000,559,1
35.0,21.25,43.75,1.595,12.359377035263917,0.3905227272727273,0.26925000000000004,0.14449999999999996,0.14107499999999998,0.3981132075471697,0.32366257840020607,3.78125,40.0,1.0,0.05896358912560865,0.5,7.41,0.6177325581395349,13.25,0.26925000000000004,200,400,200,45,1000,559,1
40.0,22.0,38.0,1.62,13.581348630542214,0.38636363636363635,0.263,0.147,0.147,0.3886792452830188,0.3233495145631066,3.8,40.0,1.0,0.0519514521674782,0.5,7.41,0.436046511627907,13.0,0.263,400,600,200,45,1000,559,1
40.0,22.0,38.0,1.62,13.581348630542214,0.38636363636363635,0.263,0.147,0.147,0.3886792452830188,0.3233495145631066,3.8,40.0,1.0,0.0519514521674782,0.5,7.41,0.436046511627907,13.0,0.263,600,800,200,45,1000,559,1
40.0,22.0,38.0,1.62,13.581348630542214,0.38636363636363635,0.263,0.147,0.147,0.3886792452830188,0.3233495145631066,3.8,40.0,1.0,0.0519514521674782,0.5,7.41,0.436046511627907,13.0,0.263,800,1000,200,45,1000,559,1
43.6,19.48,36.92,1.5264000000000002,20.185046150155298,0.3855127272727273,0.24212,0.12323999999999999,0.12323999999999999,0.4239999999999999,0.41533903815759754,3.737,40.0,1.0,0.04523995402153359,0.5,7.41,0.3313953488372093,11.56,0.24212,1000,1500,500,45,1000,559,1
50.0,15.0,35.0,1.36,31.92495285168967,0.384,0.205,0.081,0.081,0.4867924528301886,0.578875968992248,3.625,40.0,1.0,0.033308401762076514,0.5,7.409999999999999,0.14534883720930233,9.0,0.205,1500,2000,500,45,1000,559,1
